"Subject","Activity","MeanSamples"
1,"LAYING",-0.594707036980469
1,"SITTING",-0.624050327484195
1,"STANDING",-0.636243884029033
1,"WALKING",-0.316196020466049
1,"WALKING_DOWNSTAIRS",-0.29084182997205
1,"WALKING_UPSTAIRS",-0.401998406358606
2,"LAYING",-0.627043202524725
2,"SITTING",-0.631217459677212
2,"STANDING",-0.625313056980446
2,"WALKING",-0.382561706171769
2,"WALKING_DOWNSTAIRS",-0.25342621919616
2,"WALKING_UPSTAIRS",-0.359137893717154
3,"LAYING",-0.62850994055966
3,"SITTING",-0.613463675932956
3,"STANDING",-0.615716932539613
3,"WALKING",-0.383715362473539
3,"WALKING_DOWNSTAIRS",-0.343962297920108
3,"WALKING_UPSTAIRS",-0.419215081502761
4,"LAYING",-0.617976767827821
4,"SITTING",-0.617742573161543
4,"STANDING",-0.607505321812788
4,"WALKING",-0.42725090750405
4,"WALKING_DOWNSTAIRS",-0.357169515826774
4,"WALKING_UPSTAIRS",-0.410232806524741
5,"LAYING",-0.618891930009265
5,"SITTING",-0.617682631674567
5,"STANDING",-0.607742242549251
5,"WALKING",-0.375414215692185
5,"WALKING_DOWNSTAIRS",-0.290518270748796
5,"WALKING_UPSTAIRS",-0.351535157743521
6,"LAYING",-0.606563806094289
6,"SITTING",-0.616086446315432
6,"STANDING",-0.618136808328267
6,"WALKING",-0.334538181838666
6,"WALKING_DOWNSTAIRS",-0.192887176439587
6,"WALKING_UPSTAIRS",-0.325915369116423
7,"LAYING",-0.615414092646592
7,"SITTING",-0.619494477137226
7,"STANDING",-0.622557992209866
7,"WALKING",-0.303898534429208
7,"WALKING_DOWNSTAIRS",-0.310674341219449
7,"WALKING_UPSTAIRS",-0.42233757107686
8,"LAYING",-0.614204668409975
8,"SITTING",-0.628356205131513
8,"STANDING",-0.628311098384689
8,"WALKING",-0.296914450134253
8,"WALKING_DOWNSTAIRS",-0.187503797873187
8,"WALKING_UPSTAIRS",-0.288783223036722
9,"LAYING",-0.615524476940554
9,"SITTING",-0.618196788755707
9,"STANDING",-0.622581433390199
9,"WALKING",-0.36855017024368
9,"WALKING_DOWNSTAIRS",-0.306699749951025
9,"WALKING_UPSTAIRS",-0.422005892173458
10,"LAYING",-0.620698298882782
10,"SITTING",-0.63069994167351
10,"STANDING",-0.61976438748694
10,"WALKING",-0.324148634826399
10,"WALKING_DOWNSTAIRS",-0.256898620174375
10,"WALKING_UPSTAIRS",-0.340872306927271
11,"LAYING",-0.63060968135046
11,"SITTING",-0.626717198004031
11,"STANDING",-0.637190189174631
11,"WALKING",-0.428057926463179
11,"WALKING_DOWNSTAIRS",-0.342150068370668
11,"WALKING_UPSTAIRS",-0.430176398633052
12,"LAYING",-0.617233530765963
12,"SITTING",-0.626936557907139
12,"STANDING",-0.61657323573947
12,"WALKING",-0.352520865374518
12,"WALKING_DOWNSTAIRS",-0.305055301573657
12,"WALKING_UPSTAIRS",-0.41674080622344
13,"LAYING",-0.611462846514103
13,"SITTING",-0.628807268243994
13,"STANDING",-0.628145714447821
13,"WALKING",-0.314086558554219
13,"WALKING_DOWNSTAIRS",-0.310779182330468
13,"WALKING_UPSTAIRS",-0.406567572714275
14,"LAYING",-0.61546628242172
14,"SITTING",-0.630552687421655
14,"STANDING",-0.622638712547364
14,"WALKING",-0.382356169708137
14,"WALKING_DOWNSTAIRS",-0.197327296159419
14,"WALKING_UPSTAIRS",-0.280919799858147
15,"LAYING",-0.626952834313366
15,"SITTING",-0.632112571807295
15,"STANDING",-0.628882430319337
15,"WALKING",-0.38736277880863
15,"WALKING_DOWNSTAIRS",-0.273903252350324
15,"WALKING_UPSTAIRS",-0.388769860346557
16,"LAYING",-0.622989932357457
16,"SITTING",-0.63286768565045
16,"STANDING",-0.635360660111165
16,"WALKING",-0.428054237123699
16,"WALKING_DOWNSTAIRS",-0.332547156847514
16,"WALKING_UPSTAIRS",-0.435030478585072
17,"LAYING",-0.61698165539788
17,"SITTING",-0.63431586058939
17,"STANDING",-0.633503933312242
17,"WALKING",-0.383888345611871
17,"WALKING_DOWNSTAIRS",-0.358568583933135
17,"WALKING_UPSTAIRS",-0.396452914099616
18,"LAYING",-0.632091223199671
18,"SITTING",-0.640825534374942
18,"STANDING",-0.63434432597279
18,"WALKING",-0.432979945583865
18,"WALKING_DOWNSTAIRS",-0.43177690599451
18,"WALKING_UPSTAIRS",-0.465457027025313
19,"LAYING",-0.620093360073694
19,"SITTING",-0.629611935921382
19,"STANDING",-0.628981682307344
19,"WALKING",-0.235630218971321
19,"WALKING_DOWNSTAIRS",-0.0726996258287405
19,"WALKING_UPSTAIRS",-0.312143245785501
20,"LAYING",-0.631451089003491
20,"SITTING",-0.630494847140168
20,"STANDING",-0.608944152291579
20,"WALKING",-0.256820006548384
20,"WALKING_DOWNSTAIRS",-0.240963023624834
20,"WALKING_UPSTAIRS",-0.333537796011119
21,"LAYING",-0.618209621398472
21,"SITTING",-0.635329379552929
21,"STANDING",-0.627301190389927
21,"WALKING",-0.327697911551998
21,"WALKING_DOWNSTAIRS",-0.284938558353179
21,"WALKING_UPSTAIRS",-0.377057709441287
22,"LAYING",-0.619206384923834
22,"SITTING",-0.624658528734899
22,"STANDING",-0.624851802854673
22,"WALKING",-0.271450717179841
22,"WALKING_DOWNSTAIRS",-0.281314340501113
22,"WALKING_UPSTAIRS",-0.300548983276375
23,"LAYING",-0.615201056278789
23,"SITTING",-0.623490632830529
23,"STANDING",-0.62588021083936
23,"WALKING",-0.262578080397041
23,"WALKING_DOWNSTAIRS",-0.196417705857954
23,"WALKING_UPSTAIRS",-0.364716014852348
24,"LAYING",-0.621293251192904
24,"SITTING",-0.637217651161863
24,"STANDING",-0.623060986581195
24,"WALKING",-0.413717714518183
24,"WALKING_DOWNSTAIRS",-0.352481778868752
24,"WALKING_UPSTAIRS",-0.43073761801539
25,"LAYING",-0.576755342551112
25,"SITTING",-0.635910282965649
25,"STANDING",-0.63412460101482
25,"WALKING",-0.457428828708617
25,"WALKING_DOWNSTAIRS",-0.423068551168701
25,"WALKING_UPSTAIRS",-0.480235102756579
26,"LAYING",-0.627746744614968
26,"SITTING",-0.633330521323268
26,"STANDING",-0.632835792212739
26,"WALKING",-0.388839985559817
26,"WALKING_DOWNSTAIRS",-0.315998973851263
26,"WALKING_UPSTAIRS",-0.406657959050257
27,"LAYING",-0.633041627829183
27,"SITTING",-0.637925445246217
27,"STANDING",-0.633186207856553
27,"WALKING",-0.374653079298033
27,"WALKING_DOWNSTAIRS",-0.306007600024453
27,"WALKING_UPSTAIRS",-0.421200383981872
28,"LAYING",-0.627586139420773
28,"SITTING",-0.627953707591668
28,"STANDING",-0.616772037545063
28,"WALKING",-0.390612167297286
28,"WALKING_DOWNSTAIRS",-0.285286220198999
28,"WALKING_UPSTAIRS",-0.396115726271753
29,"LAYING",-0.633371502754066
29,"SITTING",-0.634707827147121
29,"STANDING",-0.639054354254385
29,"WALKING",-0.349865121225725
29,"WALKING_DOWNSTAIRS",-0.310807150686106
29,"WALKING_UPSTAIRS",-0.359582749988974
30,"LAYING",-0.629685242455516
30,"SITTING",-0.636618193549682
30,"STANDING",-0.619514190630521
30,"WALKING",-0.370504122620107
30,"WALKING_DOWNSTAIRS",-0.352187444152132
30,"WALKING_UPSTAIRS",-0.43425751267404
